LABELS
SEPARATOR TAB
DATA
accession	name (group)
GCA_002280335.1	Sphingomonadales bacterium 32-68-7 (Alphaproteobacteria)
GCA_002280685.1	Sphingomonadales bacterium 32-64-17 (Alphaproteobacteria)
GCA_002281325.1	Rhodospirillales bacterium 35-66-84 (Alphaproteobacteria)
GCA_002281855.1	Rhodospirillales bacterium 24-66-33 (Alphaproteobacteria)
GCA_002282435.1	Rhodospirillales bacterium 39-66-50 (Alphaproteobacteria)
GCA_002286975.1	Halomonas sp. WRN001 (Gammaproteobacteria)
GCA_002288285.1	Sphingobium hydrophobicum (Alphaproteobacteria)
GCA_002289535.1	Bradyrhizobium sp. UFLA03-84 (Alphaproteobacteria)
GCA_002292285.1	Proteobacteria bacterium UBA981 (Proteobacteria)
GCA_002292845.1	Alcaligenaceae bacterium UBA971 (Betaproteobacteria)
GCA_002295635.1	Alphaproteobacteria bacterium UBA830 (Alphaproteobacteria)
GCA_002296855.1	Alphaproteobacteria bacterium UBA815 (Alphaproteobacteria)
GCA_002298745.1	Alphaproteobacteria bacterium UBA723 (Alphaproteobacteria)
GCA_002306775.1	Alphaproteobacteria bacterium UBA1330 (Alphaproteobacteria)
GCA_002306855.1	Alphaproteobacteria bacterium UBA1326 (Alphaproteobacteria)
GCA_002306905.1	Alphaproteobacteria bacterium UBA1324 (Alphaproteobacteria)
GCA_002311015.1	Achromobacter insolitus (Betaproteobacteria)
GCA_002312805.1	Sphingobium sp. D43FB (Alphaproteobacteria)
GCA_002322215.1	Achromobacter insolitus (Betaproteobacteria)
GCA_002325375.1	Rhodospirillaceae bacterium UBA1479 (Alphaproteobacteria)
GCA_002331385.1	Comamonadaceae bacterium UBA2121 (Betaproteobacteria)
GCA_002337315.1	Sphingobium xenophagum (Alphaproteobacteria)
GCA_002337385.1	Erythrobacter sp. UBA1916 (Alphaproteobacteria)
GCA_002340675.1	Comamonadaceae bacterium UBA2543 (Betaproteobacteria)
GCA_002341085.1	Sphingobium xenophagum (Alphaproteobacteria)
GCA_002341725.1	Bradyrhizobium sp. UBA2491 (Alphaproteobacteria)
GCA_002342145.1	Burkholderiales bacterium UBA2470 (Betaproteobacteria)
GCA_002346535.1	Opitutales bacterium UBA2995 (PVC Superphylum)
GCA_002347905.1	Comamonadaceae bacterium UBA2237 (Betaproteobacteria)
GCA_002348275.1	Alphaproteobacteria bacterium UBA2973 (Alphaproteobacteria)
GCA_002348365.1	Alphaproteobacteria bacterium UBA2966 (Alphaproteobacteria)
GCA_002348385.1	Gammaproteobacteria bacterium UBA2965 (Gammaproteobacteria)
GCA_002355275.1	Rhizorhabdus dicambivorans (Alphaproteobacteria)
GCA_002355335.1	Variibacter gotjawalensis (Alphaproteobacteria)
GCA_002359255.1	Rhodospirillaceae bacterium UBA2667 (Alphaproteobacteria)
GCA_002359555.1	Hylemonella sp. UBA2652 (Betaproteobacteria)
GCA_002359635.1	Burkholderiales bacterium UBA2647 (Betaproteobacteria)
GCA_002365775.1	Betaproteobacteria bacterium UBA3119 (Betaproteobacteria)
GCA_002367635.1	Betaproteobacteria bacterium UBA3031 (Betaproteobacteria)
GCA_002367875.1	Rhizorhabdus dicambivorans (Alphaproteobacteria)
GCA_002377535.1	Alphaproteobacteria bacterium UBA3502 (Alphaproteobacteria)
GCA_002378125.1	Rhodospirillaceae bacterium UBA3470 (Alphaproteobacteria)
GCA_002383745.1	Betaproteobacteria bacterium UBA4031 (Betaproteobacteria)
GCA_002384805.1	Advenella kashmirensis (Betaproteobacteria)
GCA_002386465.1	Burkholderiales bacterium UBA4615 (Betaproteobacteria)
GCA_002390205.1	Proteobacteria bacterium UBA4457 (Proteobacteria)
GCA_002390245.1	Proteobacteria bacterium UBA4455 (Proteobacteria)
GCA_002393305.1	Rhodospirillaceae bacterium UBA4492 (Alphaproteobacteria)
GCA_002412495.1	Betaproteobacteria bacterium UBA5216 (Betaproteobacteria)
GCA_002415625.1	Rhodospirillaceae bacterium UBA5101 (Alphaproteobacteria)
GCA_002422345.1	Acetobacteraceae bacterium UBA6159 (Alphaproteobacteria)
GCA_002429885.1	Achromobacter sp. UBA5986 (Betaproteobacteria)
GCA_002433075.1	Latescibacteria bacterium UBA6620 (Candidatus Latescibacteria)
GCA_002433205.1	Alphaproteobacteria bacterium UBA6615 (Alphaproteobacteria)
GCA_002433335.1	Rhodospirillaceae bacterium UBA6608 (Alphaproteobacteria)
GCA_002433405.1	Alphaproteobacteria bacterium UBA6605 (Alphaproteobacteria)
GCA_002434595.1	Alphaproteobacteria bacterium UBA6544 (Alphaproteobacteria)
GCA_002450295.1	Deltaproteobacteria bacterium UBA6967 (Deltaproteobacteria)
GCA_002450755.1	Deltaproteobacteria bacterium UBA6930 (Deltaproteobacteria)
GCA_002469795.1	Candidatus Endolissoclinum sp. UBA7380 (Alphaproteobacteria)
GCA_002471325.1	Candidatus Endolissoclinum sp. UBA7326 (Alphaproteobacteria)
GCA_002471575.1	Alphaproteobacteria bacterium UBA7314 (Alphaproteobacteria)
GCA_002484205.1	Alicycliphilus sp. UBA7619 (Betaproteobacteria)
GCA_002531575.1	Bradyrhizobium sp. Y36 (Alphaproteobacteria)
GCA_002531995.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_002532025.1	Bradyrhizobium ottawaense (Alphaproteobacteria)
GCA_002532045.1	Bradyrhizobium sp. C9 (Alphaproteobacteria)
GCA_002683655.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_002684675.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_002689605.1	Filomicrobium sp. (Alphaproteobacteria)
GCA_002690215.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002690255.1	Rhodobacteraceae bacterium (Alphaproteobacteria)
GCA_002690525.1	SAR324 cluster bacterium (Deltaproteobacteria)
GCA_002690685.1	Nisaea sp. (Alphaproteobacteria)
GCA_002690995.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002691525.1	Thiotrichales bacterium (Gammaproteobacteria)
GCA_002691795.1	SAR116 cluster bacterium (Alphaproteobacteria)
GCA_002692375.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002692905.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_002693105.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002693245.1	Acidiferrobacteraceae bacterium (Gammaproteobacteria)
GCA_002695715.1	Magnetovibrio sp. (Alphaproteobacteria)
GCA_002696205.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002696905.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002698075.1	SAR116 cluster bacterium (Alphaproteobacteria)
GCA_002699335.1	Candidatus Poribacteria bacterium (Candidatus Rokubacteria)
GCA_002701455.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002702005.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002702965.1	Planctomycetaceae bacterium (PVC Superphylum)
GCA_002703485.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_002704805.1	Thiotrichales bacterium (Gammaproteobacteria)
GCA_002704915.1	Parvularcula sp. (Alphaproteobacteria)
GCA_002706405.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002708305.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002709155.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002709445.1	Magnetovibrio sp. (Alphaproteobacteria)
GCA_002709695.1	Candidatus Poribacteria bacterium (Candidatus Rokubacteria)
GCA_002711555.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002712335.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002712985.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002713365.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002714255.1	Acidiferrobacteraceae bacterium (Gammaproteobacteria)
GCA_002715005.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002717045.1	Opitutaceae bacterium (PVC Superphylum)
GCA_002717105.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_002717185.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002717265.1	Pelagibacterales bacterium (Alphaproteobacteria)
GCA_002717545.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_002717895.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002718015.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002718135.1	Pelagibacteraceae bacterium (Alphaproteobacteria)
GCA_002718155.1	Proteobacteria bacterium (Proteobacteria)
GCA_002718815.1	Planctomycetaceae bacterium (PVC Superphylum)
GCA_002719885.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002720535.1	Pelagibacterales bacterium (Alphaproteobacteria)
GCA_002720855.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002722095.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002722775.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002723855.1	Sphingobium fuliginis (Alphaproteobacteria)
GCA_002724215.1	Gemmatimonadetes bacterium (Gemmatimonadetes)
GCA_002724245.1	Planctomycetaceae bacterium (PVC Superphylum)
GCA_002724395.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002724505.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002725185.1	Acidiferrobacteraceae bacterium (Gammaproteobacteria)
GCA_002725415.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002725835.1	Acidiferrobacteraceae bacterium (Gammaproteobacteria)
GCA_002726515.1	Planctomycetaceae bacterium (PVC Superphylum)
GCA_002727395.1	Rhodospirillales bacterium (Alphaproteobacteria)
GCA_002727475.1	Thiotrichales bacterium (Gammaproteobacteria)
GCA_002727965.1	Magnetovibrio sp. (Alphaproteobacteria)
GCA_002728095.1	Rhodobacteraceae bacterium (Alphaproteobacteria)
GCA_002729445.1	Variovorax sp. (Betaproteobacteria)
GCA_002729925.1	Sphingobium sp. (Alphaproteobacteria)
GCA_002730365.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_002730675.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002731375.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_002732675.1	Sneathiella sp. (Alphaproteobacteria)
GCA_002737415.1	Alcaligenaceae bacterium (Betaproteobacteria)
GCA_002776695.1	Bradyrhizobium sp. TSA1 (Alphaproteobacteria)
GCA_002778325.1	Limnohabitans sp. B9-3 (Betaproteobacteria)
GCA_002781745.1	Rhodospirillales bacterium CG15_BIG_FIL_POST_REV_8_21_14_020_66_15 (Alphaproteobacteria)
GCA_002795245.1	Bradyrhizobium sp. INPA54B (Alphaproteobacteria)
GCA_002797435.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_002797515.1	Bradyrhizobium lablabi (Alphaproteobacteria)
GCA_002797635.1	Afipia broomeae (Alphaproteobacteria)
GCA_002798435.1	Minwuia thermotolerans (Alphaproteobacteria)
GCA_002810445.1	Advenella sp. S44 (Betaproteobacteria)
GCA_002831585.1	Bradyrhizobium sp. SK17 (Alphaproteobacteria)
GCA_002841225.1	Alphaproteobacteria bacterium HGW-Alphaproteobacteria-16 (Alphaproteobacteria)
GCA_002870125.1	Burkholderia sp. WAC0059 (Betaproteobacteria)
GCA_002891695.1	Variovorax sp. B2 (Betaproteobacteria)
GCA_002891725.1	Variovorax sp. B4 (Betaproteobacteria)
GCA_002894065.1	Sphingobium sp. SA916 (Alphaproteobacteria)
GCA_002902965.1	Paraburkholderia hospita (Betaproteobacteria)
GCA_002914425.1	Candidatus Entotheonella serta (Candidatus Tectomicrobia)
GCA_002919385.1	Sinobacteraceae bacterium (Gammaproteobacteria)
GCA_002924445.1	Minwuia thermotolerans (Alphaproteobacteria)
GCA_002936975.1	Bradyrhizobium sp. AC87j1 (Alphaproteobacteria)
GCA_002937115.1	Rhodopila globiformis (Alphaproteobacteria)
GCA_002937455.1	Alphaproteobacteria bacterium MarineAlpha11_Bin1 (Alphaproteobacteria)
GCA_002937505.1	Alphaproteobacteria bacterium MarineAlpha12_Bin1 (Alphaproteobacteria)
GCA_002937525.1	Alphaproteobacteria bacterium MarineAlpha10_Bin3 (Alphaproteobacteria)
GCA_002937585.1	Alphaproteobacteria bacterium MarineAlpha9_Bin6 (Alphaproteobacteria)
GCA_002937595.1	Alphaproteobacteria bacterium MarineAlpha9_Bin5 (Alphaproteobacteria)
GCA_002937655.1	Alphaproteobacteria bacterium MarineAlpha9_Bin3 (Alphaproteobacteria)
GCA_002938015.1	Alphaproteobacteria bacterium MarineAlpha4_Bin2 (Alphaproteobacteria)
GCA_002938275.1	Alphaproteobacteria bacterium MarineAlpha4_Bin1 (Alphaproteobacteria)
GCA_002943565.1	Marinicaulis flavus (Alphaproteobacteria)
GCA_002951195.1	Pandoraea apista (Betaproteobacteria)
GCA_002967695.1	Rhodobacteraceae bacterium WD3A24 (Alphaproteobacteria)
GCA_002981045.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_002981105.1	Burkholderia sp. AU12872 (Betaproteobacteria)
GCA_003001755.1	plant_associated tropici (Alphaproteobacteria)
GCA_003003055.1	beta proteobacterium MWH-P2sevCIIIb (Betaproteobacteria)
GCA_003014875.1	Variovorax sp. WS11 (Betaproteobacteria)
GCA_003019635.1	Sphingobium sp. AEW4 (Alphaproteobacteria)
GCA_003020075.1	Bradyrhizobium sp. MOS004 (Alphaproteobacteria)
GCA_003020115.1	Bradyrhizobium sp. MOS002 (Alphaproteobacteria)
GCA_003020125.1	Bradyrhizobium sp. MOS003 (Alphaproteobacteria)
GCA_003034885.1	Pandoraea apista (Betaproteobacteria)
GCA_003057815.1	Burkholderia sp. AU29985 (Betaproteobacteria)
GCA_003058465.1	Bordetella sp. HZ20 (Betaproteobacteria)
GCA_003062295.1	Bradyrhizobium algeriense (Alphaproteobacteria)
GCA_003063645.1	Limnohabitans sp. 2KL-51 (Betaproteobacteria)
GCA_003076415.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003094595.1	Caulobacter radicis (Alphaproteobacteria)
GCA_003096755.1	Tardiphaga sp. OV697 (Alphaproteobacteria)
GCA_003122645.1	Bradyrhizobium sp. SUTN9-2 (Alphaproteobacteria)
GCA_003131245.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131345.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131425.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131525.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131605.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131725.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003131885.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003133905.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003134045.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003134965.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003135555.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003135855.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_003135975.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003139835.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003140215.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003140315.1	Rhizobiales bacterium (Alphaproteobacteria)
GCA_003151425.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_003151695.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003153415.1	Rhodospirillales bacterium (Alphaproteobacteria)
GCA_003156025.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003161435.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003161555.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003161655.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003163815.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003164045.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003164175.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_003164305.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_003164495.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003164785.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003164965.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003168115.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_003168375.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003169275.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003169995.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003170255.1	Candidatus Eremiobacteraeota bacterium (Candidatus Eremiobacteraeota)
GCA_003173615.1	Roseomonas sp. CQN31 (Alphaproteobacteria)
GCA_003176155.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003183845.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_003201435.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_003201635.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_003209665.1	SAR116 cluster bacterium AG-447-K02 (Alphaproteobacteria)
GCA_003210055.1	SAR116 cluster bacterium AG-426-I14 (Alphaproteobacteria)
GCA_003210115.1	SAR116 cluster bacterium AG-426-A06 (Alphaproteobacteria)
GCA_003212315.1	SAR116 cluster bacterium AG-447-C21 (Alphaproteobacteria)
GCA_003213175.1	SAR116 cluster bacterium AG-426-B08 (Alphaproteobacteria)
GCA_003220195.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220225.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220255.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220265.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220275.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220315.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220335.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220345.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220365.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220385.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220415.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220425.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220435.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220475.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220495.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220515.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220525.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220535.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220575.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220595.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220605.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220615.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220655.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220675.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220685.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220725.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003220735.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221435.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221455.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221475.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221495.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221515.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221555.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221575.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221595.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221615.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221635.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221675.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003221715.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003242685.1	Proteobacteria bacterium (Proteobacteria)
GCA_003243375.1	Variovorax paradoxus (Betaproteobacteria)
GCA_003246155.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003247695.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003248935.1	Sphingobium sp. (Alphaproteobacteria)
GCA_003250535.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003253405.1	Paraburkholderia sp. PDC91 (Betaproteobacteria)
GCA_003253705.1	Humitalea rosea (Alphaproteobacteria)
GCA_003258945.1	Acetobacteraceae bacterium DB1506 (Alphaproteobacteria)
GCA_003259875.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_003278095.1	SAR116 cluster bacterium AG-390-L20 (Alphaproteobacteria)
GCA_003282145.1	SAR116 cluster bacterium AG-337-N21 (Alphaproteobacteria)
GCA_003282435.1	SAR116 cluster bacterium AG-335-B03 (Alphaproteobacteria)
GCA_003283875.1	SAR116 cluster bacterium AG-321-A13 (Alphaproteobacteria)
GCA_003284265.1	SAR116 cluster bacterium AG-313-A07 (Alphaproteobacteria)
GCA_003284565.1	SAR116 cluster bacterium AG-321-K23 (Alphaproteobacteria)
GCA_003293535.1	Achromobacter insolitus (Betaproteobacteria)
GCA_003318275.1	Marinobacter sp. F3R11 (Gammaproteobacteria)
GCA_003337555.1	Pseudorhodoferax soli (Betaproteobacteria)
GCA_003352165.1	Acidisphaera sp. G45-3 (Alphaproteobacteria)
GCA_003353545.1	Tardiphaga sp. CF115 (Alphaproteobacteria)
GCA_003444075.1	Planctomycetaceae bacterium (PVC Superphylum)
GCA_003444945.1	Lautropia sp. (Betaproteobacteria)
GCA_003448315.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003476535.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_003476565.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_003476985.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_003482525.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003483505.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003483905.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_003485335.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003488105.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003506525.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_003506895.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_003507735.1	Alcaligenaceae bacterium (Betaproteobacteria)
GCA_003510025.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003520625.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003522305.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003524805.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_003533245.1	Advenella kashmirensis (Betaproteobacteria)
GCA_003541985.1	Deltaproteobacteria bacterium (Deltaproteobacteria)
GCA_003569745.1	Altererythrobacter sp. B11 (Alphaproteobacteria)
GCA_003574685.1	Rhodospirillaceae bacterium SYSU D60007 (Alphaproteobacteria)
GCA_003576705.1	Rhodospirillaceae bacterium SYSU D60015 (Alphaproteobacteria)
GCA_003584015.1	Erythrobacter xanthus (Alphaproteobacteria)
GCA_003605195.1	Erythrobacter odishensis (Alphaproteobacteria)
GCA_003610335.1	Tardiphaga sp. YR296 (Alphaproteobacteria)
GCA_003610805.1	Altererythrobacter sp. HN-Y73 (Alphaproteobacteria)
GCA_003635265.1	Candidatus Poribacteria bacterium (Candidatus Rokubacteria)
GCA_003671765.1	Xenophilus sp. E41 (Betaproteobacteria)
GCA_003696265.1	Nocardia sp. NEAU-LL90 (Actinobacteria)
GCA_003751345.1	Stella humosa (Alphaproteobacteria)
GCA_003751945.1	Couchioplanes caeruleus (Actinobacteria)
GCA_003812265.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_003813045.1	Burkholderia dolosa (Betaproteobacteria)
GCA_003818485.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_003818495.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_003819725.1	Hyphomicrobiaceae bacterium (Alphaproteobacteria)
GCA_003819825.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003820645.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_003837805.1	Bradyrhizobium sp. RP6 (Alphaproteobacteria)
GCA_003854055.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854095.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854115.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854125.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854485.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854585.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854625.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854675.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854725.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854785.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003854855.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003863415.1	Variovorax sp. T529 (Betaproteobacteria)
GCA_003863885.1	Pandoraea apista (Betaproteobacteria)
GCA_003863955.1	Pandoraea apista (Betaproteobacteria)
GCA_003936875.1	Pandoraea apista (Betaproteobacteria)
GCA_003937325.1	Pandoraea apista (Betaproteobacteria)
GCA_003937835.1	Pandoraea apista (Betaproteobacteria)
GCA_003937845.1	Pandoraea apista (Betaproteobacteria)
GCA_003938685.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_003939895.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_003944545.1	Pandoraea apista (Betaproteobacteria)
GCA_003944575.1	Pandoraea apista (Betaproteobacteria)
GCA_003950355.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950365.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950395.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950405.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950475.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950495.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950655.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950665.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950695.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950755.1	Sphingomonas koreensis (Alphaproteobacteria)
